epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1254.41,0.67831,0.52891,1.09351,0.91929,0.9072,0.95461,0.79928,0.66082,0.50064,1.13828,0.0011882,0.0011882,0.0011882
43,1283.81,0.65628,0.51689,1.08202,0.91965,0.91164,0.97194,0.81247,0.66281,0.50308,1.11632,0.0011684,0.0011684,0.0011684
44,1313.36,0.6523,0.5443,1.09105,0.92252,0.9292,0.97157,0.81512,0.65003,0.49012,1.11237,0.0011486,0.0011486,0.0011486
45,1345.76,0.66053,0.52786,1.08421,0.90525,0.93004,0.9674,0.8103,0.64908,0.49172,1.09464,0.0011288,0.0011288,0.0011288
46,1375.54,0.65035,0.50608,1.09996,0.90502,0.9469,0.96117,0.80539,0.68984,0.48228,1.15206,0.001109,0.001109,0.001109
47,1405.03,0.65785,0.50712,1.07111,0.90056,0.96177,0.97062,0.81054,0.66967,0.46595,1.13738,0.0010892,0.0010892,0.0010892
48,1434.38,0.6522,0.51794,1.09136,0.89705,0.9253,0.95087,0.79053,0.6911,0.56256,1.14287,0.0010694,0.0010694,0.0010694
49,1463.69,0.61866,0.49555,1.07681,0.91469,0.94881,0.96468,0.80018,0.6704,0.49454,1.13976,0.0010496,0.0010496,0.0010496
50,1493.44,0.63681,0.45757,1.06148,0.89414,0.93805,0.95704,0.79475,0.692,0.49818,1.1662,0.0010298,0.0010298,0.0010298
51,1523.36,0.65603,0.51086,1.05798,0.91301,0.92887,0.96462,0.79894,0.65532,0.46011,1.13527,0.00101,0.00101,0.00101
52,1553.62,0.63282,0.4964,1.07514,0.89983,0.95399,0.96601,0.81034,0.67124,0.49438,1.17185,0.0009902,0.0009902,0.0009902
53,1583.49,0.60298,0.47194,1.05196,0.89748,0.9292,0.9562,0.80377,0.63891,0.47903,1.12256,0.0009704,0.0009704,0.0009704
