Name,Location Type,Parent Name,Capacity,Latitude 1,Longitude 1,Latitude 2,Longitude 2,Latitude 3,Longitude 3,Latitude 4,Longitude 4,Latitude 5,Longitude 5,Circle Radius,Circle Center
G 94                          ,                              ,                              ,                              ,33.23069765496951,-96.86018486290598,33.23069765496951,-96.86025460034037,33.230671453067956,-96.86025460034037,33.230671453067956,-96.86018486290598,33.23068455401874             ,-96.86021973162318            ,                                                            ,                                                                                                    
G 93                          ,                              ,                              ,                              ,33.230723856871066,-96.86018486290598,33.230723856871066,-96.86025460034037,33.23069765496951,-96.86025460034037,33.23069765496951,-96.86018486290598,33.230710755920285            ,-96.86021973162318            ,                                                            ,                                                                                                    
G 92                          ,                              ,                              ,                              ,33.23075005877262,-96.86018486290598,33.23075005877262,-96.86025460034037,33.230723856871066,-96.86025460034037,33.230723856871066,-96.86018486290598,33.23073695782185             ,-96.86021973162318            ,                                                            ,                                                                                                    
G 91                          ,                              ,                              ,                              ,33.23077626067417,-96.86018486290598,33.23077626067417,-96.86025460034037,33.23075005877262,-96.86025460034037,33.23075005877262,-96.86018486290598,33.230763159723395            ,-96.86021973162318            ,                                                            ,                                                                                                    
G 90                          ,                              ,                              ,                              ,33.230802462575724,-96.86018486290598,33.230802462575724,-96.86025460034037,33.23077626067417,-96.86025460034037,33.23077626067417,-96.86018486290598,33.23078936162494             ,-96.86021973162318            ,                                                            ,                                                                                                    
G 89                          ,                              ,                              ,                              ,33.23082866447728,-96.86018486290598,33.23082866447728,-96.86025460034037,33.230802462575724,-96.86025460034037,33.230802462575724,-96.86018486290598,33.230815563526505            ,-96.86021973162318            ,                                                            ,                                                                                                    
G 88                          ,                              ,                              ,                              ,33.230854866378834,-96.86018486290598,33.230854866378834,-96.86025460034037,33.23082866447728,-96.86025460034037,33.23082866447728,-96.86018486290598,33.23084176542806             ,-96.86021973162318            ,                                                            ,                                                                                                    
G 86                          ,                              ,                              ,                              ,33.23072866460071,-96.8600395542326,33.23078251071501,-96.8600395542326,33.23078251071501,-96.86006952791834,33.23072866460071,-96.86006952791834,33.23075558765786             ,-96.86005454107547            ,                                                            ,                                                                                                    
G 85                          ,                              ,                              ,                              ,33.23072866460071,-96.86000958054686,33.23078251071501,-96.86000958054686,33.23078251071501,-96.8600395542326,33.23072866460071,-96.8600395542326,33.23075558765786             ,-96.86002456738973            ,                                                            ,                                                                                                    
G 84                          ,                              ,                              ,                              ,33.23072866460071,-96.85997960686112,33.23078251071501,-96.85997960686112,33.23078251071501,-96.86000958054686,33.23072866460071,-96.86000958054686,33.23075558765786             ,-96.85999459370399            ,                                                            ,                                                                                                    
G 83                          ,                              ,                              ,                              ,33.23072866460071,-96.85994963317538,33.23078251071501,-96.85994963317538,33.23078251071501,-96.85997960686112,33.23072866460071,-96.85997960686112,33.23075558765786             ,-96.85996462001825            ,                                                            ,                                                                                                    
G 82                          ,                              ,                              ,                              ,33.23072866460071,-96.85991965948963,33.23078251071501,-96.85991965948963,33.23078251071501,-96.85994963317538,33.23072866460071,-96.85994963317538,33.23075558765786             ,-96.8599346463325             ,                                                            ,                                                                                                    
G 81                          ,                              ,                              ,                              ,33.23072866460071,-96.85988968580389,33.23078251071501,-96.85988968580389,33.23078251071501,-96.85991965948963,33.23072866460071,-96.85991965948963,33.23075558765786             ,-96.85990467264676            ,                                                            ,                                                                                                    
G 80                          ,                              ,                              ,                              ,33.23072866460071,-96.85985971211815,33.23078251071501,-96.85985971211815,33.23078251071501,-96.85988968580389,33.23072866460071,-96.85988968580389,33.23075558765786             ,-96.85987469896102            ,                                                            ,                                                                                                    
G 79                          ,                              ,                              ,                              ,33.23072866460071,-96.85982973843241,33.23078251071501,-96.85982973843241,33.23078251071501,-96.85985971211815,33.23072866460071,-96.85985971211815,33.23075558765786             ,-96.85984472527528            ,                                                            ,                                                                                                    
G 78                          ,                              ,                              ,                              ,33.23072866460071,-96.85979976474667,33.23078251071501,-96.85979976474667,33.23078251071501,-96.85982973843241,33.23072866460071,-96.85982973843241,33.23075558765786             ,-96.85981475158954            ,                                                            ,                                                                                                    
G 77                          ,                              ,                              ,                              ,33.23072866460071,-96.85976979106093,33.23078251071501,-96.85976979106093,33.23078251071501,-96.85979976474667,33.23072866460071,-96.85979976474667,33.23075558765786             ,-96.8597847779038             ,                                                            ,                                                                                                    
G 76                          ,                              ,                              ,                              ,33.23073146908666,-96.85953509777212,33.23078755878651,-96.85953509777212,33.23078755878651,-96.85956527262354,33.23073146908666,-96.85956527262354,33.23075951393659             ,-96.85955018519783            ,                                                            ,                                                                                                    
G 75                          ,                              ,                              ,                              ,33.23073146908666,-96.8595049229207,33.23078755878651,-96.8595049229207,33.23078755878651,-96.85953509777212,33.23073146908666,-96.85953509777212,33.23075951393659             ,-96.85952001034642            ,                                                            ,                                                                                                    
G 74                          ,                              ,                              ,                              ,33.23073146908666,-96.85947474806929,33.23078755878651,-96.85947474806929,33.23078755878651,-96.8595049229207,33.23073146908666,-96.8595049229207,33.23075951393659             ,-96.859489835495              ,                                                            ,                                                                                                    
G 73                          ,                              ,                              ,                              ,33.23073146908666,-96.85944457321787,33.23078755878651,-96.85944457321787,33.23078755878651,-96.85947474806929,33.23073146908666,-96.85947474806929,33.23075951393659             ,-96.85945966064358            ,                                                            ,                                                                                                    
G 72                          ,                              ,                              ,                              ,33.23073146908666,-96.85941439836645,33.23078755878651,-96.85941439836645,33.23078755878651,-96.85944457321787,33.23073146908666,-96.85944457321787,33.23075951393659             ,-96.85942948579216            ,                                                            ,                                                                                                    
G 71                          ,                              ,                              ,                              ,33.23073146908666,-96.85938422351504,33.23078755878651,-96.85938422351504,33.23078755878651,-96.85941439836645,33.23073146908666,-96.85941439836645,33.23075951393659             ,-96.85939931094074            ,                                                            ,                                                                                                    
G 70                          ,                              ,                              ,                              ,33.23073146908666,-96.85935404866362,33.23078755878651,-96.85935404866362,33.23078755878651,-96.85938422351504,33.23073146908666,-96.85938422351504,33.23075951393659             ,-96.85936913608933            ,                                                            ,                                                                                                    
G 69                          ,                              ,                              ,                              ,33.23073146908666,-96.8593238738122,33.23078755878651,-96.8593238738122,33.23078755878651,-96.85935404866362,33.23073146908666,-96.85935404866362,33.23075951393659             ,-96.85933896123791            ,                                                            ,                                                                                                    
G 68                          ,                              ,                              ,                              ,33.23073146908666,-96.85929369896078,33.23078755878651,-96.85929369896078,33.23078755878651,-96.8593238738122,33.23073146908666,-96.8593238738122,33.23075951393659             ,-96.85930878638649            ,                                                            ,                                                                                                    
G 67                          ,                              ,                              ,                              ,33.230733151778175,-96.85917970507765,33.23078699788969,-96.85917970507765,33.23078699788969,-96.85920987992907,33.230733151778175,-96.85920987992907,33.23076007483393             ,-96.85919479250336            ,                                                            ,                                                                                                    
G 66                          ,                              ,                              ,                              ,33.230733151778175,-96.85914953022623,33.23078699788969,-96.85914953022623,33.23078699788969,-96.85917970507765,33.230733151778175,-96.85917970507765,33.23076007483393             ,-96.85916461765194            ,                                                            ,                                                                                                    
G 65                          ,                              ,                              ,                              ,33.230733151778175,-96.85911935537482,33.23078699788969,-96.85911935537482,33.23078699788969,-96.85914953022623,33.230733151778175,-96.85914953022623,33.23076007483393             ,-96.85913444280052            ,                                                            ,                                                                                                    
G 64                          ,                              ,                              ,                              ,33.230733151778175,-96.8590891805234,33.23078699788969,-96.8590891805234,33.23078699788969,-96.85911935537482,33.230733151778175,-96.85911935537482,33.23076007483393             ,-96.8591042679491             ,                                                            ,                                                                                                    
G 63                          ,                              ,                              ,                              ,33.230733151778175,-96.85905900567198,33.23078699788969,-96.85905900567198,33.23078699788969,-96.8590891805234,33.230733151778175,-96.8590891805234,33.23076007483393             ,-96.85907409309769            ,                                                            ,                                                                                                    
G 62                          ,                              ,                              ,                              ,33.230733151778175,-96.85902883082056,33.23078699788969,-96.85902883082056,33.23078699788969,-96.85905900567198,33.230733151778175,-96.85905900567198,33.23076007483393             ,-96.85904391824627            ,                                                            ,                                                                                                    
G 61                          ,                              ,                              ,                              ,33.230733151778175,-96.85899865596915,33.23078699788969,-96.85899865596915,33.23078699788969,-96.85902883082056,33.230733151778175,-96.85902883082056,33.23076007483393             ,-96.85901374339485            ,                                                            ,                                                                                                    
G 60                          ,                              ,                              ,                              ,33.230733151778175,-96.85896848111773,33.23078699788969,-96.85896848111773,33.23078699788969,-96.85899865596915,33.230733151778175,-96.85899865596915,33.23076007483393             ,-96.85898356854344            ,                                                            ,                                                                                                    
G 59                          ,                              ,                              ,                              ,33.23061143700808,-96.85946777432585,33.23066191780886,-96.85946777432585,33.23066191780886,-96.85949754684592,33.23061143700808,-96.85949754684592,33.23063667740847             ,-96.85948266058588            ,                                                            ,                                                                                                    
